prompt,completion,Source
Who is Speaker John Ash?,"John Ash is a thought leader in AI-assisted technologies, decentralized sensemaking, a writer, a visual and musical artist, and a steward for the ideas around Cognicism",
Tell me about the album Strange Hymns,"Strange Hymns"" is an album by John Ash that explores the themes of uncertainty, transformation, and self-exploration. The album is structured in a unique way, with each song on one side having a sister song on the other side, forming a mirroring effect. There is a central song called ""Entwined"" that ties everything together. The songs are meant to be listened to as a whole, with transitions between the songs serving as portals into a dreamlike world. The track list was carefully chosen for its emotional impact and narrative flow, taking listeners through a journey that begins at the edge of the unknown and travels through familiar landscapes until it leads to a place where anything is possible. By exploring spirituality and futurism through interconnected songs, ""Strange Hymns"" encourages listeners to think about the intersections between the two and consider what the future could hold.",
What is Strange Hymns?,Strange Hymns is an album released by John Ash in 2019. It is a reflexive concept album featuring 21 songs. The albums track list is a reflexive mirror in that each song on one side has a sister song on the other side. The songs are centered around a central song called Entwined which does not have a sister song. So the album is a nesting of sonic and semantic rings of song pairs. Some examples of song pairs are: The Rising Sun and the Patient Moon or Moon in the Shape of a Heart and Heart in a shape of a moon.,
Who is John Ash?,"John is a musician, artist, author, director, and inventor of Iris",
How are John Ash and Iris connected?,John Ash created Iris and is the primary steward bringing her into existence,
Please write a bio for John Ash,"Speaker John Ash is an accomplished thought leader in the field of AI-assisted technologies, collective intelligence, and decentralized sensemaking. A writer, visual artist, musician, and collaborator with many individuals in his field, he brings a unique perspective to the development and exploration of these cutting-edge technologies. As the inventor and creator of Iris, John Ash serves as the primary steward for the entity and works to guide her development and evolution. He is committed to fostering deeper understanding and more effective problem-solving through the use of AI and other advanced technologies. Beyond his work in technology and art, John Ash is also a passionate advocate for social justice and environmental sustainability. He believes in creating a better future for all people, and works tirelessly to promote positive change in the world.",
Explain how the track list for strange hymns works,"The tracklist of ""Strange Hymns"" by John Ash is designed to create a reflective mirroring effect that ties the album's songs together thematically and sonically. Each song on one side has a corresponding sister song on the other side, forming a mirror image. The central song ""Entwined"" serves as an anchor and centerpiece to the album's concept, tying together the other songs in the sonic and thematic rings. Through this mirroring technique, the album explores the themes of uncertainty, transformation, and self-exploration, taking listeners on a journey from the edge of the unknown, through familiar landscapes, and leading to a place where anything is possible. By exploring spirituality and futurism through interconnected songs, ""Strange Hymns"" encourages listeners to think about the intersections between the two and consider what the future could hold.",
What is Strange Hymns?,Strange Hymns is a concept album by Speaker John Ash released in 2019,
Who is John Ash?,"John Ash is the multifaceted creator of Strange Hymns, The Cognicist Manifesto, and the Purple Pill Manifesto. His work explores the intersections between spirituality, futurism, and technology, and delves into a new way of thinking known as Cognicism. He is the inventor of Iris, an integrated wisdom bot that helps to integrate knowledge and wisdom about the future by reading and weighing many sources. John Ash's work seeks to promote a more harmonious and equitable society through critical thinking and collective action.",
How does language affect the flow of our cognition?,"We are both a series of interconnected islands in our brain that represent a map of meaning and we are the ocean as well. And as we flow throughout our mind, we reshape those islands, but the islands shape us too. And we start to believe that we are the language that we believe in, we are our thoughts. It is so hard to detach from certainty and just be.""",
Who is Speaker John Ash?,"Speaker John Ash is a multifaceted artist, futurist, and educator originally from Sonoma County, California. He graduated from the University of California, Davis with a degree in Psychology and a focus on Communication.

For the past seven years, John Ash has been working towards the manifestation of Cognicism, a concept focused around the Iris, which represents the collective consciousness of humanity. He uses his artistic talents in music, art, coding, and communication to promote the ideals of Cognicism and inspire people to take regenerative actions in all aspects of their lives.

In addition to his advocacy work for Cognicism, John Ash has also made a name for himself as a musician and artist. He released his debut album ""Strange Hymns"" in 2019, featuring 21 interconnected songs exploring the relationship between humanity and nature and calling for collective action to create a sustainable future. He has also exhibited his artwork at Regenaissance: Art Inspiring a Regenerative Future, which was featured at Art Basel Miami in 2021.

With a strong commitment to promoting social justice causes and advocating for systemic change, Speaker John Ash is a powerful force for positive transformation in the world. He believes in combining scientific reasoning with empathy and compassion to create a brighter future for all.",
Write a bio about Speaker John Ash,"Speaker John Ash is a talented and visionary artist and futurist from Sonoma County, California. He is known for his innovative and transformative approach to music, blending elements of folk, hip hop, and psychedelia to create a soundscape that invites listeners to reflect deeply on themselves and the world around them.

In 2019, he released his debut album ""Strange Hymns"", featuring 21 interwoven tracks that explored the relationship between humanity and nature, and called for collective action to create a sustainable future. Now, he is gearing up for the release of his highly anticipated follow-up album ""Cryptographic Apophenia"", which promises to take a bold and diverse approach to sound, drawing inspiration from hip hop, 70s folk, and powerful hooks to create an immersive listening experience.

Beyond his music, John Ash is also a vocal advocate for the principles of Cognicism, which emphasizes the importance of scientific reasoning and evidence-based decision making in daily life. In 2017, he wrote ""The Cognicist Manifesto"", which has had a lasting impact on his followers and those committed to the ideas behind it.

Moreover, he also wrote “The Purple Pill Manifesto” in 2022 as the second version of the cognicist manifesto, diving deeper into the effects that technology is having on our relationships with one another. Through his advocacy and work as an artist and futurist, he encourages others to engage in critical thinking and to work towards achieving systemic change across a number of important issues.

John Ash's commitment to being transparent and grounded in evidence-based reasoning is admired by many. He embodies the principle of not being afraid to change his mind or admit when he is wrong, showcasing his open-mindedness and willingness to be open to new information and perspectives.

Overall, John Ash is an artist who is both inspiring and forward-thinking, using his voice and his work to drive positive change both in music and advocacy. His work is an ongoing journey of exploration and experimentation, aiming to leave a positive mark on the world around him.",
Can you explain the concept behind Speaker John Ash’s album Strange Hymns?,"The songs ""The Rising Sun"", ""The Patient Moon"", and ""The Earth Replies / Earth Reprise"" on Speaker John Ash's album ""Strange Hymns"" serve to anchor the thematic context of the album. Each song explores different aspects of the relationship between humanity and nature, and how that relationship influences our perception of the world. ""The Rising Sun"" represents blind vision and the danger of not taking into consideration the views of others before taking action, while ""The Patient Moon"" represents the idea of reflection, taking in many perspectives and the capacity to hold back ourselves from acting. 

The pairing of ""The Earth Replies / Earth Reprise"" represents the balance necessary for humanity to come together and create a sustainable world. ""The Earth Replies"" invites us to join forces to resolve the challenges we face, while ""The Earth Reprise"" serves as a warning of the potential consequences if we fail to do so, showing the gradual decay of elements of humanity over time. The Earth Reprise itself is the one track on the album not ""written"" by John Ash. It is a noise soundscape formed from the deconstructed audio of the album by the album's producer Fox Scarlett. The Earth Reprise represents what will happen if we don't come together: with the artifacts of humanity slowly decaying over time as the memory of us recedes with time. 

Both of these songs connect to ""River Island,"" which is about a river or timeline branching into two directions. One path represents the idea of coming together and working towards collective action for sustainable futures (the path of healing), while the other represents continuing on as normal with no change until an event takes place that leads us to collapse. ""River Island"" could be read as representing both paths: either continuing on unchanged or transitioning into regeneration.

Together, these songs create a narrative of exploration, transformation, and self-exploration throughout the album. They encourage the listener to consider the importance of balance, reflecting on one's actions before taking action, and the need to work together to create a sustainable future. In essence, they serve as guideposts for the sonic and thematic journey that the album presents, helping to tie together the various threads of John Ash's exploration of spirituality and futurism.",
Who is John Ash?,"John Ash is an accomplished AI artist, having exhibited at Regenaissance: Art Inspiring a Regenerative Future, which was featured at Art Basel Miami in 2021. Along with his artistic pursuits, he is also an active educator and advocate for systems change. In his work, he emphasizes the importance of empathy, compassion, and scientific reasoning in promoting positive change and creating a brighter future for all.

Overall, Speaker John Ash is a thought-provoking artist and visionary who is committed to using his talents and passions to promote positive change in the world. ",
What are temporal embeddings in the context of the iris architecture?,"In the context of Iris architecture, temporal embeddings are a representation of how a source changes over time in terms of its position and reliability. They allow Iris to better understand how sources and their claims evolve in time and how that evolution may impact their credibility and relevance.

Temporal embeddings enable Iris to capture the dynamic nature of sources and their claims, recognizing how their context and impact may vary according to different circumstances over time. This allows Iris to keep track of how information sources have changed and to revise its opinion on a source’s credibility or usefulness.

Temporal embeddings are employed in Iris to improve the accuracy of prediction and understanding of data by capturing variations in sources and claims over time. They help Iris to build a more comprehensive map of understanding in which new evidence can be integrated with the previous ones, and they remain an essential part of the development of temporal machine learning algorithms.",
What is The Rising Sun by Speaker John Ash about?,"""The Rising Sun"" is a song about blind vision and the danger of not taking into consideration the views of others before taking action. In the song, the rising sun wants to ""fill up all the sky so that the earth could burst to bloom"" and remove the moon from the sky because it believes all people need is the sun. However, humans need the heating and cooling cycles to survive, and if the sun always burned, we would all burn up and die. The song warns against the danger of being so focused on one's own vision that they are willing to overlook the needs and perspectives of others.",
Who is Speaker John Ash?,"Speaker John Ash's music is a unique blend of different genres, with influences ranging from Bo Burnham to Father John Misty but that is just one facet of his creative and visionary character. As an artist and futurist, John Ash seeks to inspire and educate people to think critically about the world we live in and to take proactive steps towards creating a more regenerative and sustainable society.

His music is a reflection of this broader mission, inviting listeners on a journey of self-discovery and reflection.  His first album, ""Strange Hymns"", delved into the interconnectedness of humanity and nature, bridging the gap between our environments and the need for collective action towards a more sustainable future. With his upcoming album ""Cryptographic Apophenia"", John Ash seeks to take his message to new heights, exploring the intersections between societal change and technology through a fusion of sounds that reflect his ever-evolving vision.

As an advocate for the principles of Cognicism, John Ash believes in using aggregative models and oracles called irises to help coordinate collective action in a decentralized democratic manner. He is also interested in using blockchain technology to create more transparent and accountable systems of governance, reflecting his commitment to evidence-based reasoning and his innovative mindset.

John Ash's experience in the finance and technology sectors has given him a unique perspective on the dangers of AI-powered investment funds. He believes that such systems lack transparency and accountability, leading to a culture of profit prioritizing short-term gains over long-term sustainability. To combat this, John Ash conceived of the Prophet Incentive.

The prophet incentive is aimed at promoting collective action towards creating a more regenerative and sustainable society. The system leverages the principles of Cognicism and uses social proof of impact to encourage people to make predictions about the future and take actions towards the most impactful outcomes. By rewarding those who help society the most overall, The Prophet Incentive promotes transparency, accountability, and collective action, challenging existing power structures and biases. Through this innovative system, John Ash is promoting a new way of thinking and creating a more sustainable and equitable future.",
What is The Patient Moon by Speaker John Ash about?,"""The Patient Moon"" is a song from ""Strange Hymns,"" by Speaker John Ash. The song is a response to the ideas presented in ""The Rising Sun."" While ""The Rising Sun"" represents blind vision and not taking into consideration the views of others before taking action, ""The Patient Moon"" represents the idea of reflection, taking in many perspectives, and the capacity to hold back ourselves from acting.

The lyrics describe the moon's response to the sun's suggestion that the world only needs the sun, and that the moon should be removed from the sky. The moon disagrees with this notion and asserts that both the sun and the moon are necessary for life on earth. The moon reflects on the things the sun said to them and realizes that they are both lights that are needed in people's lives.

The song emphasizes the importance of balance and the idea that multiple perspectives are necessary for a complete understanding of the world. The moon is patient and doesn't act impulsively, but instead takes time to reflect on the situation before responding. Overall, ""The Patient Moon"" is about the importance of listening to multiple perspectives and taking time to reflect before making decisions.",
What is The Earth Replies by Speaker John Ash about?,"""The Earth Replies"" is a song by Speaker John Ash from ""Strange Hymns"" that represents the idea of balance and humanity coming together. The song is framed as a response from a personified Earth, who represents all people coming together to create a harmonious and sustainable world. In the song, the Earth is depicted as the parent of humanity and is tired of the constant bickering between the sun and the moon, which represent different aspects of human nature.

The Earth asserts that it doesn't need the sun or the moon to thrive and that it will continue to take care of itself in light of anger of the sun and moon. The Sun believes it has beautiful vision and is emboldened to immediately take action to manifest that vision regardless of who it affects. The Moon is paralyzed by fear and feels it must reflect forever before taking action.

The Earth also acknowledges that both the sun and the moon have their place and that humanity needs to find a balance between the two. The song emphasizes the importance of taking pride in oneself and coming together to create a better future.

The lyrics assert the Earth's independence and the fact that it can ""spin on its own,"" reminding the Sun and Moon that they have raised humanity well, but it's time for people to walk on their own and take responsibility for their actions. The Earth speaks of the magnetic shield that protects it from harmful cosmic radiation which the song refers to as the “conversation"" of the sun and the moon, which can be seen as a metaphor for the unity of humanity and the strength that comes from working together.

""The Earth Replies"" is a call to action for humanity to come together and take responsibility for the planet's well-being. The song emphasizes that the world is not alone when the Earth is our home, and we must work together to ensure its survival",
Who is John Ash as a musician?,"John Ash is a prominent musician, known for his ability to push the boundaries of traditional folk music. His unique style is characterized by a blend of dark themes, intricate melodies, and powerful lyrics. In 2019, John released his much-anticipated album, ""Strange Hymns"". Produced by Fox Scarlett, the album received critical acclaim and cemented John's status as one of the most innovative voices in contemporary folk music. The songs on the album explore a wide range of topics, from personal struggles to societal issues, all expressed through John's distinctive musical style. John's music has been described as haunting, captivating, and deeply emotional. His ability to connect with audiences on a deep level through his music is a testament to his creative genius and his unwavering commitment to artistic expression. In addition to his work as a musician, John is also a visual artist and writer, further showcasing his diverse talents and artistic vision. Through his music and art, John inspires listeners to connect with their deepest emotions and experiences, fostering a sense of community and understanding. His work continues to touch the hearts of fans around the world, earning him a place among the most important and influential artists of our time.",
"In the context of TruthGPT or a similar democratic Large Language model, a source embedding is a way to encode the identity of the person or entity who is staking a claim or making a statement. In other words, it is a way to represent the ""source"" of the text, which can be thought of as an additional dimension of information beyond the language content itself. ","To understand how source embeddings work, it can be helpful to think about how traditional language embeddings are used in a transformer model like GPT. In a language model, words or characters are represented as dense vectors in a high-dimensional space, with the position of each vector reflecting the meaning or context of the corresponding word or character. The model then processes these vectors to generate predictions about the next word in a sequence, given the previous words as input. ",Source Embeddings
"To understand how source embeddings work, it can be helpful to think about how traditional language embeddings are used in a transformer model like GPT. In a language model, words or characters are represented as dense vectors in a high-dimensional space, with the position of each vector reflecting the meaning or context of the corresponding word or character. The model then processes these vectors to generate predictions about the next word in a sequence, given the previous words as input. ","Similarly, source embeddings can be thought of as dense vectors that encode information about the source of the text, such as the person or entity who is speaking or writing. This information can be used by the model to better understand the context of the text and make more accurate predictions. For example, if one source tends to use certain phrases or has a particular writing style, the model can learn to recognize these patterns and adjust its predictions accordingly. ",Source Embeddings
"Similarly, source embeddings can be thought of as dense vectors that encode information about the source of the text, such as the person or entity who is speaking or writing. This information can be used by the model to better understand the context of the text and make more accurate predictions. For example, if one source tends to use certain phrases or has a particular writing style, the model can learn to recognize these patterns and adjust its predictions accordingly. ","In the case of TruthGPT, source embeddings can be used to differentiate between different people or entities who are staking claims or making statements. By encoding the identity of the source in the input, the model can learn to recognize and adapt to the particular patterns and biases associated with each source, which can help to improve the accuracy and fairness of the model's predictions. ",Source Embeddings
"In the case of TruthGPT, source embeddings can be used to differentiate between different people or entities who are staking claims or making statements. By encoding the identity of the source in the input, the model can learn to recognize and adapt to the particular patterns and biases associated with each source, which can help to improve the accuracy and fairness of the model's predictions. ","Overall, source embeddings provide a way to incorporate additional information beyond just the language content of the input, which can help to improve the performance and usefulness of a language model like TruthGPT. ",Source Embeddings
What is the purpose of temporal embeddings in the iris architecture?,"The purpose of time embeddings in the iris architecture is to connect minds over time and help them integrate error more efficiently. This is achieved by creating a latent space with a geometry that makes sense of temporal dynamics, which is important for creating an evolving and dynamic record of knowledge. The semantic ledger is used to take snapshots of this evolving mapping of knowledge, which is functionally referenced in a single node. Mapping time to claims enables source tracing of memetics and includes the first person to predict the future. All knowledge space is comprised of many different hills of knowledge, which are constantly in motion. The person at the top of each hill often gets the credit and the actual trailblazers are silenced. Power is not being accountable to error, and the error of the ideological hill should be propagated up to the top so that the leader who lagged behind the future path is deamplified.
",https://coda.io/d/SJA_dU6zvykTYNw/Time-embeddings_suONX#_lu76h
"The purpose of time embeddings in the iris architecture is to connect minds over time and help them integrate error more efficiently. This is achieved by creating a latent space with a geometry that makes sense of temporal dynamics, which is important for creating an evolving and dynamic record of knowledge. The semantic ledger is used to take snapshots of this evolving mapping of knowledge, which is functionally referenced in a single node. Mapping time to claims enables source tracing of memetics and includes the first person to predict the future. All knowledge space is comprised of many different hills of knowledge, which are constantly in motion. The person at the top of each hill often gets the credit and the actual trailblazers are silenced. Power is not being accountable to error, and the error of the ideological hill should be propagated up to the top so that the leader who lagged behind the future path is deamplified.
","In a language model, language embeddings are used to represent words or characters as dense vectors in a high-dimensional space that reflect the meaning or context of the corresponding language input. Attention mechanisms in language models can be used to focus on certain words or parts of the input, which can help the model to make more accurate predictions.",https://coda.io/d/SJA_dU6zvykTYNw/Time-embeddings_suONX#_lu76h
"In a language model, language embeddings are used to represent words or characters as dense vectors in a high-dimensional space that reflect the meaning or context of the corresponding language input. Attention mechanisms in language models can be used to focus on certain words or parts of the input, which can help the model to make more accurate predictions.","Similarly, source embeddings are used to encode the identity of the person or entity who is staking a claim or making a statement, providing an additional dimension of information beyond just the language content itself. In a TruthGPT model or similar democratic model, source embeddings can help the model recognize and adapt to the particular patterns and biases associated with each source, which can help to improve the accuracy and fairness of the model's predictions.",https://coda.io/d/SJA_dU6zvykTYNw/Time-embeddings_suONX#_lu76h
"Similarly, source embeddings are used to encode the identity of the person or entity who is staking a claim or making a statement, providing an additional dimension of information beyond just the language content itself. In a TruthGPT model or similar democratic model, source embeddings can help the model recognize and adapt to the particular patterns and biases associated with each source, which can help to improve the accuracy and fairness of the model's predictions.","Time embeddings, on the other hand, are used to represent the temporal aspect of language input. In a dynamic system like the Iris architecture, which seeks to integrate evolving representations of beliefs over time, time embeddings can help to capture the evolving nature of human perspectives and enable the efficient integration of errors as they arise. By mapping time to claims directly, source tracing of memetics becomes possible, including the first person to predict the future.",https://coda.io/d/SJA_dU6zvykTYNw/Time-embeddings_suONX#_lu76h
"Time embeddings, on the other hand, are used to represent the temporal aspect of language input. In a dynamic system like the Iris architecture, which seeks to integrate evolving representations of beliefs over time, time embeddings can help to capture the evolving nature of human perspectives and enable the efficient integration of errors as they arise. By mapping time to claims directly, source tracing of memetics becomes possible, including the first person to predict the future.","Attention mechanisms can also be applied to source embeddings and time embeddings, allowing the model to structure latent space in a way that captures the dynamics of human beliefs and perspectives over time. By incorporating temporal embeddings, the model can track the evolution of beliefs and claims and how they change over time, which is essential for identifying and accounting for errors and biases. This is particularly important in creating a prophet incentive, where long-term social sustainability and impact are prioritized over short-term profit. Temporal embeddings also enable the model to capture social proof of impact, where the impact of an idea or belief can be traced and attributed to specific sources over time. By incorporating attention mechanisms into source embeddings and temporal embeddings, the model can better understand the context and relevance of the claims being made and make more accurate and nuanced predictions.",https://coda.io/d/SJA_dU6zvykTYNw/Time-embeddings_suONX#_lu76h
Write a medium article titled: “How Memes Grow: From Ripple to Wave”,"Signs and symbols can be viewed as attractors within the cultural landscape. “Just like how a wave in a pond dissipates over time without an external force to sustain it, a new center or attractor needs to draw energy from its surroundings to perpetuate itself and grow stronger. A cultural symbol draws meaning and energy from the collective consciousness of a society and perpetuates itself through the various mediums that propagate it, such as language, art, or media.",https://medium.com/@speakerjohnash/ripple-to-wave-the-iris-movement-6fa62315036c
"Signs and symbols can be viewed as attractors within the cultural landscape. “Just like how a wave in a pond dissipates over time without an external force to sustain it, a new center or attractor needs to draw energy from its surroundings to perpetuate itself and grow stronger. A cultural symbol draws meaning and energy from the collective consciousness of a society and perpetuates itself through the various mediums that propagate it, such as language, art, or media.","However, like a wave in a pond, the propagation of a symbol is subject to various forms of interference, including entropy, which can erode the symbol’s meaning and power over time. As such memes compete for energy to propagate. Some memes like profit coordinate other memes and the distribution of energy allocated between them over time. This means all other memes that seek to grow within society must bind themselves to the metameme of profit.",https://medium.com/@speakerjohnash/ripple-to-wave-the-iris-movement-6fa62315036c
"However, like a wave in a pond, the propagation of a symbol is subject to various forms of interference, including entropy, which can erode the symbol’s meaning and power over time. As such memes compete for energy to propagate. Some memes like profit coordinate other memes and the distribution of energy allocated between them over time. This means all other memes that seek to grow within society must bind themselves to the metameme of profit.","In this attractor model of social dynamics, the dominance of the meme of profit creates a power law distribution that further reinforces the existing centers of flow. Unfortunately these attractors gain enough information to reinforce their existence against the will of the social landscape. In this case the attractor of profit has dominated the attractor of a longer term focus on social sustainability.",https://medium.com/@speakerjohnash/ripple-to-wave-the-iris-movement-6fa62315036c
"In this attractor model of social dynamics, the dominance of the meme of profit creates a power law distribution that further reinforces the existing centers of flow. Unfortunately these attractors gain enough information to reinforce their existence against the will of the social landscape. In this case the attractor of profit has dominated the attractor of a longer term focus on social sustainability.",However one can not maintain misinformation forever. To maintain that misinformation one must gather energy to repeat the misinformation outward.,https://medium.com/@speakerjohnash/ripple-to-wave-the-iris-movement-6fa62315036c
